Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
CASKIN1	5	-0.044038	-0.28205	0.74636	0.94239	0.7779	0.9077
CASKIN2	5	0.33555	1.165	0.17005	0.6043	0.24401	0.61115
CASP1	13	-0.30603	-1.9683	0.037488	0.31513	0.049031	0.54396
CASP10	5	-0.13872	-0.75611	0.49	0.85197	0.44958	0.72862
CASP12	5	0.24823	0.80344	0.34039	0.76901	0.42172	0.71185
CASP14	5	-0.13672	-0.73227	0.49411	0.85279	0.464	0.7364
CASP2	6	0.35667	1.3949	0.10513	0.5004	0.16306	0.59288
CASP3	5	-0.58182	-1.7842	0.028768	0.27451	0.074385	0.59288
CASP4	5	-0.094358	-0.46882	0.60252	0.89435	0.6392	0.83717
CASP5	7	0.21211	1.2325	0.34533	0.77176	0.21777	0.59985
CASP6	5	0.3752	1.0775	0.11535	0.52212	0.28126	0.62982
CASP7	5	0.016524	0.1238	0.93819	0.99023	0.90147	0.95854
CASP8	5	-0.11704	-0.51619	0.54193	0.8733	0.60572	0.81844
CASP9	8	0.31964	1.8071	0.099967	0.48808	0.070754	0.59288
CASQ1	5	0.094523	0.42464	0.80251	0.95721	0.6711	0.8538
CASQ2	4	0.29966	1.1995	0.27619	0.7201	0.23033	0.60577
CASR	5	0.040604	0.19686	0.98239	0.99774	0.84393	0.93643
CASS4	5	0.17996	0.55568	0.5276	0.86936	0.57843	0.80408
CAST	4	-0.10307	-0.69803	0.61307	0.89676	0.48516	0.74895
CASZ1	5	0.25623	1.1483	0.32012	0.74954	0.25085	0.61607
CAT	5	0.47317	1.6755	0.036988	0.3143	0.093842	0.59288
CATSPER1	5	-0.19777	-0.91853	0.36554	0.78195	0.35834	0.67365
CATSPER2	5	0.27588	1.2731	0.27674	0.72061	0.20297	0.59638
CATSPER3	5	0.1825	0.84366	0.5191	0.86562	0.39886	0.69706
CATSPER4	5	0.011756	0.048253	0.92158	0.98557	0.96151	0.98453
CATSPERB	5	0.37845	1.3643	0.11107	0.51361	0.17249	0.59288
CATSPERD	5	-0.16668	-0.86836	0.42852	0.82033	0.3852	0.6892
CATSPERG	5	0.18004	0.92063	0.52727	0.86936	0.35724	0.67289
CAV1	5	0.44611	1.6153	0.051261	0.36627	0.10625	0.59288
CAV2	6	0.12045	0.55784	0.67561	0.91925	0.57696	0.80337
CAV3	5	0.61236	1.4502	0.0048317	0.098751	0.14702	0.59288
CBFA2T2	5	0.21124	1.4156	0.4353	0.82466	0.15689	0.59288
CBFA2T3	5	0.35215	1.676	0.14673	0.57666	0.093738	0.59288
CBFB	5	0.010945	0.061963	0.9193	0.98489	0.95059	0.97976
CBL	5	0.29254	1.5526	0.24214	0.68553	0.12053	0.59288
CBLB	5	0.53597	1.8012	0.016161	0.20235	0.071665	0.59288
CBLC	5	-0.53995	-3.0448	0.038987	0.32015	0.0023283	0.086263
CBLL1	5	-0.066865	-0.35582	0.67877	0.91998	0.72197	0.8789
CBLN1	5	0.35964	1.1838	0.13512	0.55586	0.23648	0.6087
CBLN2	5	0.10131	0.56486	0.77991	0.9531	0.57217	0.80044
CBLN3	5	-0.032304	-0.27473	0.78374	0.95346	0.78352	0.91048
CBLN4	5	0.044454	0.12967	0.97007	0.99607	0.89682	0.95693
CBR1	5	0.48941	1.4099	0.030268	0.28151	0.15857	0.59288
CBR3	5	0.36374	1.2659	0.12996	0.54801	0.20555	0.59696
CBR4	5	-0.0052847	-0.026425	0.86843	0.97306	0.97892	0.99119
CBS	5	-0.088235	-0.5975	0.62013	0.89977	0.55018	0.78716
CBWD1	2	-0.50397	-0.67039	0.21193	0.65416	0.50261	0.75887
CBWD2	1	0.070462	0.49885	0.95102	0.99191	0.61789	0.82406
CBWD3	2	-0.7488	-1.5225	0.090859	0.47133	0.12789	0.59288
CBX1	5	-0.095608	-0.5797	0.5993	0.89278	0.56212	0.79394
CBX2	5	-0.040181	-0.2834	0.75852	0.94783	0.77687	0.90692
CBX3	5	-0.58691	-2.0907	0.027769	0.26907	0.036552	0.4561
CBX4	5	-0.4046	-1.802	0.10469	0.50027	0.071539	0.59288
CBX5	5	0.10494	0.38636	0.76591	0.94955	0.69923	0.86797
CBX6	5	-0.012028	-0.073905	0.84622	0.96774	0.94109	0.97678
CBX7	5	0.0558	0.26451	0.9313	0.98862	0.79139	0.91321
CBX8	5	0.26442	1.4352	0.30129	0.73643	0.15123	0.59288
CBY1	4	-0.39834	-1.7714	0.14801	0.57833	0.076491	0.59288
CBY3	5	0.19159	0.97915	0.49245	0.85247	0.32751	0.65665
CC2D1A	5	0.093424	0.36522	0.80573	0.95795	0.71494	0.8746
CC2D1B	5	-0.036681	-0.21799	0.76997	0.95025	0.82744	0.92973
CC2D2A	13	-0.15589	-1.1559	0.23498	0.67944	0.24774	0.61385
CC2D2B	5	0.22169	0.83067	0.40609	0.80782	0.40616	0.70219
CCAR1	5	-0.49049	-2.2521	0.056759	0.3875	0.024318	0.36458
CCAR2	5	-0.51053	-2.1436	0.048317	0.35539	0.032063	0.42481
CCBE1	3	0.37566	1.4383	0.22404	0.66999	0.15035	0.59288
CCBL1	5	0.057577	0.35224	0.92469	0.98696	0.72466	0.87997
CCBL2	5	0.236	0.82688	0.36882	0.78446	0.4083	0.70342
CCDC101	5	-0.30616	-1.5528	0.19821	0.63944	0.12046	0.59288
CCDC102A	5	0.37846	1.4724	0.11107	0.51361	0.14092	0.59288
CCDC102B	5	-0.16915	-1.0741	0.42369	0.81821	0.28277	0.63067
CCDC103	5	0.036485	0.20246	0.99622	0.99944	0.83955	0.93437
CCDC104	5	-0.16287	-0.68688	0.43763	0.82617	0.49216	0.75348
CCDC105	5	-0.051925	-0.30591	0.72098	0.93463	0.75967	0.89855
CCDC106	5	-0.043052	-0.24963	0.74958	0.94345	0.80287	0.91834
CCDC107	5	-0.59283	-2.4148	0.026658	0.26417	0.015744	0.27917
CCDC108	5	0.25159	1.5615	0.33078	0.75956	0.11841	0.59288
CCDC109B	5	0.16169	0.69409	0.58086	0.88824	0.48762	0.75063
CCDC11	5	0.30178	1.1299	0.22498	0.67062	0.25853	0.61852
CCDC110	5	0.019802	0.067441	0.94879	0.9917	0.94623	0.97868
CCDC112	5	-0.0066683	-0.01997	0.86343	0.97159	0.98407	0.99367
CCDC113	5	0.11046	0.51079	0.74531	0.94239	0.6095	0.81949
CCDC114	5	-0.018519	-0.088895	0.82667	0.96493	0.92917	0.97134
CCDC115	5	-1.3095	-3.7746	0	0	0.00016024	0.015719
CCDC116	5	0.37011	1.0861	0.1219	0.5355	0.27744	0.62759
CCDC117	5	-0.12109	-0.76266	0.53166	0.87023	0.44567	0.72656
CCDC12	5	-0.25262	-1.2878	0.27274	0.71662	0.19781	0.59478
CCDC120	5	-0.14773	-0.7275	0.46968	0.84085	0.46692	0.73766
CCDC121	5	-0.32156	-1.3137	0.18044	0.61603	0.18895	0.59478
CCDC122	4	0.0071823	0.040658	0.91558	0.984	0.96757	0.98685
CCDC124	5	0.15248	1.1578	0.60869	0.89557	0.24695	0.6134
CCDC125	5	0.14669	0.7613	0.62707	0.90184	0.44648	0.7273
CCDC126	5	-0.049877	-0.26751	0.72798	0.9365	0.78908	0.9126
CCDC127	5	0.059124	0.32227	0.91842	0.98458	0.74725	0.89255
CCDC129	5	0.34317	1.3837	0.15967	0.59217	0.16645	0.59288
CCDC13	5	0.6331	1.6326	0.0034433	0.079183	0.10256	0.59288
CCDC130	5	-0.076339	-0.3839	0.65295	0.91097	0.70106	0.86877
CCDC132	4	-0.36913	-0.94621	0.174	0.60736	0.34404	0.66583
CCDC134	5	0.31198	1.275	0.20632	0.64829	0.2023	0.59632
CCDC135	5	0.12679	0.95061	0.6921	0.92426	0.3418	0.66478
CCDC136	5	0.16466	0.81295	0.57175	0.8859	0.41625	0.70832
CCDC137	5	-0.47433	-2.4154	0.063868	0.40867	0.015718	0.27917
CCDC138	5	0.096159	0.4385	0.79751	0.95555	0.66103	0.84839
CCDC14	5	0.11918	0.93313	0.71659	0.93311	0.35075	0.66982
CCDC140	5	0.077002	0.3397	0.86021	0.97086	0.73408	0.8852
CCDC142	5	-0.075653	-0.4731	0.655	0.91169	0.63614	0.83529
CCDC144A	4	0.21468	0.72876	0.46857	0.8402	0.46615	0.73763
CCDC144NL	4	0.25053	0.62812	0.38104	0.79327	0.52992	0.77525
CCDC146	5	-0.12983	-0.59202	0.51111	0.86082	0.55384	0.7897
CCDC147	5	-0.015626	-0.070369	0.83561	0.96622	0.9439	0.97795
CCDC148	5	-0.58133	-2.4397	0.029046	0.27628	0.014699	0.26898
CCDC149	5	0.40008	1.3905	0.086527	0.46206	0.16437	0.59288
CCDC15	5	0.58778	1.5077	0.0077196	0.13213	0.13163	0.59288
CCDC150	5	0.078816	0.45481	0.85433	0.96939	0.64925	0.842
CCDC151	5	0.080787	0.45748	0.84844	0.96871	0.64732	0.84101
CCDC152	5	-0.41727	-1.1948	0.096746	0.48398	0.23218	0.60604
CCDC153	5	0.37094	1.4831	0.12096	0.53458	0.13806	0.59288
CCDC155	5	-0.08146	-0.31419	0.63884	0.90532	0.75338	0.89552
CCDC157	5	0.61359	1.3186	0.0047206	0.097143	0.18731	0.59478
CCDC158	5	-0.11562	-0.46607	0.54637	0.87589	0.64117	0.83805
CCDC159	5	0.20823	0.90405	0.4438	0.83076	0.36597	0.67684
CCDC160	5	0.061697	0.3073	0.9112	0.98305	0.75861	0.89818
CCDC166	5	0.49028	1.2105	0.029934	0.28073	0.22608	0.60232
CCDC167	5	-0.57794	-2.2409	0.029712	0.2799	0.025035	0.37082
CCDC169	11	-0.082772	-0.62305	0.49461	0.85282	0.53325	0.77678
CCDC169-SOHLH2	5	0.41047	1.5432	0.07753	0.44107	0.12279	0.59288
CCDC17	5	0.15933	1.1479	0.5888	0.8916	0.25099	0.61622
CCDC170	5	0.33612	1.131	0.16905	0.60337	0.25806	0.61829
CCDC171	5	0.15469	0.59859	0.6023	0.89429	0.54945	0.78676
CCDC172	5	-0.3261	-1.603	0.17505	0.60891	0.10894	0.59288
CCDC173	5	-0.021394	-0.11482	0.81645	0.96123	0.90859	0.96168
CCDC174	5	-0.34368	-1.1934	0.15611	0.58776	0.23272	0.60604
CCDC175	5	-0.087753	-0.33245	0.62163	0.89982	0.73955	0.88842
CCDC176	5	-0.046058	-0.31879	0.74009	0.94097	0.74989	0.89378
CCDC177	5	0.18596	1.3703	0.50872	0.85931	0.17058	0.59288
CCDC178	5	0.094788	0.32434	0.80162	0.9571	0.74568	0.89143
CCDC179	2	0.19015	0.44874	0.6775	0.91925	0.65362	0.8443
CCDC180	5	0.073043	0.37042	0.8726	0.97434	0.71107	0.87261
CCDC181	5	-0.11725	-0.46977	0.54138	0.8733	0.63852	0.83677
CCDC182	5	0.11462	0.57069	0.73203	0.93677	0.56821	0.79732
CCDC19	5	0.017803	0.10539	0.94207	0.99043	0.91607	0.96567
CCDC22	5	-0.26431	-1.6953	0.2553	0.6997	0.090019	0.59288
CCDC23	4	-0.51878	-1.7163	0.075308	0.43827	0.086113	0.59288
CCDC24	5	0.16718	0.79171	0.56448	0.88394	0.42853	0.71558
CCDC25	5	-0.14782	-0.96644	0.46945	0.84084	0.33382	0.66034
CCDC27	5	-0.15313	-0.71014	0.45807	0.83732	0.47762	0.74453
CCDC28A	5	-0.052227	-0.26165	0.71998	0.93394	0.79359	0.91417
CCDC28B	5	-0.14676	-0.93784	0.47251	0.84241	0.34833	0.66849
CCDC3	6	0.18241	0.96997	0.47479	0.84335	0.33206	0.65929
CCDC30	5	-0.15544	-0.71953	0.45296	0.83405	0.47182	0.741
CCDC33	5	0.30911	1.2948	0.21093	0.65325	0.19538	0.59478
CCDC34	5	0.080123	0.50076	0.85027	0.96871	0.61654	0.82329
CCDC36	5	0.11335	0.72839	0.73659	0.93938	0.46638	0.73766
CCDC37	5	0.30806	1.5095	0.21298	0.65561	0.13118	0.59288
CCDC38	5	-0.35023	-1.2546	0.14934	0.58015	0.20962	0.59847
CCDC39	5	0.049452	0.31113	0.95418	0.9922	0.7557	0.89662
CCDC40	5	0.18528	0.95128	0.51039	0.85995	0.34146	0.66478
CCDC41	5	-0.20737	-0.9237	0.34705	0.77226	0.35564	0.67236
CCDC42	5	0.33846	1.4701	0.16556	0.59992	0.14153	0.59288
CCDC42B	5	0.44518	1.3444	0.052094	0.37075	0.17882	0.59478
CCDC43	5	-0.41315	-1.6394	0.099023	0.48637	0.10114	0.59288
CCDC47	5	0.043488	0.15899	0.9729	0.99608	0.87368	0.94799
CCDC50	5	0.35621	1.3626	0.13995	0.56477	0.17302	0.59288
CCDC51	5	0.42183	1.5485	0.069588	0.42302	0.1215	0.59288
CCDC53	5	-0.10083	-0.416	0.58664	0.89111	0.67741	0.85729
CCDC54	5	0.23701	0.93819	0.36654	0.7827	0.34814	0.6683
CCDC58	4	-0.69854	-1.8076	0.024658	0.25371	0.070669	0.59288
CCDC59	5	-0.75076	-2.7769	0.0077196	0.13213	0.0054876	0.14383
CCDC6	5	0.12562	0.49525	0.69605	0.92498	0.62042	0.82552
CCDC60	5	0.27529	1.3617	0.27807	0.72176	0.17329	0.59291
CCDC61	5	0.17688	1.3189	0.53738	0.87238	0.1872	0.59478
CCDC62	5	0.22647	1.0002	0.39265	0.80032	0.3172	0.65026
CCDC63	5	-0.21884	-0.85257	0.32656	0.75676	0.3939	0.69447
CCDC64	5	0.12349	0.73347	0.70249	0.92715	0.46327	0.73636
CCDC64B	5	0.34059	1.2296	0.16239	0.59564	0.21886	0.60021
CCDC65	5	-0.25823	-1.4101	0.26397	0.70792	0.15852	0.59288
CCDC66	5	-0.0057238	-0.025455	0.86666	0.9724	0.97969	0.99159
CCDC67	5	-0.013229	-0.065156	0.84255	0.96768	0.94805	0.97898
CCDC68	5	0.0361	0.18368	0.99745	0.99944	0.85426	0.94057
CCDC69	5	-0.13138	-0.61719	0.5075	0.85931	0.53711	0.77898
CCDC7	5	0.10534	0.64919	0.76391	0.94955	0.51622	0.76715
CCDC70	5	-0.17144	-1.0559	0.41797	0.81447	0.29101	0.63626
CCDC71	5	0.20504	1.1462	0.45302	0.83405	0.2517	0.61638
CCDC71L	5	0.27449	1.5104	0.27963	0.72269	0.13095	0.59288
CCDC73	5	-0.37688	-1.3196	0.1264	0.54463	0.18696	0.59478
CCDC74A	4	-0.49134	-1.7126	0.087637	0.46329	0.086787	0.59288
CCDC74B	3	-0.35285	-1.8245	0.24786	0.69244	0.068077	0.59288
CCDC77	5	-0.26797	-1.139	0.24964	0.69276	0.25469	0.61703
CCDC78	5	0.13432	0.80749	0.66628	0.91545	0.41938	0.71046
CCDC8	5	0.16772	0.9859	0.56287	0.88353	0.32418	0.65466
CCDC80	5	0.30471	1.0586	0.2192	0.66225	0.2898	0.63528
CCDC81	5	-0.036519	-0.18412	0.77063	0.95025	0.85392	0.94057
CCDC82	5	-0.16761	-0.59671	0.42664	0.81924	0.5507	0.78749
CCDC83	5	0.014056	0.089946	0.92947	0.98819	0.92833	0.97088
CCDC84	5	-1.1199	-3.2318	0.00022215	0.010417	0.0012302	0.057385
CCDC85A	5	0.20037	1.1259	0.46573	0.8402	0.26021	0.62033
CCDC85B	5	0.14551	1.0051	0.63112	0.90264	0.31484	0.64925
CCDC85C	5	0.31788	1.422	0.19738	0.63884	0.15503	0.59288
CCDC86	5	-0.4081	-2.2513	0.10241	0.49437	0.024367	0.36471
CCDC87	5	-0.098267	-0.52436	0.59364	0.89233	0.60003	0.81491
CCDC88A	5	-0.37004	-1.9985	0.13162	0.55155	0.045662	0.52168
CCDC88B	5	-0.37528	-2.0022	0.1274	0.54515	0.045264	0.51979
CCDC88C	5	0.75087	1.4281	0.0004443	0.018059	0.15325	0.59288
CCDC89	5	-0.072485	-0.37455	0.66378	0.91481	0.70799	0.8715
CCDC9	5	-0.32694	-1.1622	0.17422	0.60736	0.24516	0.61208
CCDC90B	8	-0.52214	-2.2502	0.012829	0.17728	0.024434	0.36533
CCDC91	5	-0.19976	-0.87242	0.3616	0.78147	0.38298	0.6876
CCDC92	5	0.46206	1.5033	0.042597	0.33596	0.13276	0.59288
CCDC93	5	-0.23451	-0.90373	0.30118	0.73642	0.36614	0.67684
CCDC94	5	-0.74484	-2.1772	0.0079973	0.13395	0.029465	0.40783
CCDC96	5	0.078412	0.65624	0.85533	0.96941	0.51167	0.76381
CCDC97	5	0.014149	0.075795	0.92963	0.98819	0.93958	0.9764
CCER1	5	0.40187	1.1071	0.084916	0.45888	0.26827	0.62415
CCHCR1	5	0.20938	1.2673	0.44041	0.8288	0.20503	0.59679
CCIN	5	-0.069209	-0.30226	0.67205	0.91801	0.76245	0.90023
CCK	5	0.19618	1.2	0.47834	0.84474	0.23015	0.60577
CCKAR	5	-0.09875	-0.55709	0.59247	0.89233	0.57746	0.80353
CCKBR	5	0.29534	1.417	0.23714	0.68059	0.15647	0.59288
CCL1	5	-0.39938	-2.0642	0.1083	0.5082	0.039002	0.47419
CCL11	5	-0.031508	-0.14071	0.78602	0.95346	0.8881	0.95401
CCL13	5	-0.38869	-2.1251	0.11674	0.52406	0.033575	0.43422
CCL14	6	-0.17334	-1.2112	0.37426	0.78856	0.2258	0.60225
CCL15	5	0.21342	0.82736	0.42963	0.82175	0.40803	0.7033
CCL16	5	0.13725	1.028	0.65795	0.91209	0.30394	0.64256
CCL17	5	0.023383	0.13037	0.95974	0.99237	0.89627	0.95662
CCL18	5	-0.16703	-1.0705	0.42791	0.81986	0.28438	0.632
CCL19	5	0.33297	1.3551	0.17361	0.60736	0.1754	0.59358
CCL2	5	0.19769	1.5917	0.47384	0.84332	0.11145	0.59288
CCL20	5	0.34715	1.0511	0.15384	0.58568	0.29323	0.63685
CCL21	5	0.022785	0.11097	0.95796	0.99237	0.91164	0.96287
CCL22	5	0.01996	0.098196	0.94946	0.99191	0.92178	0.96794
CCL23	7	0.040634	0.28689	0.9659	0.99485	0.7742	0.90532
CCL24	5	-0.0089886	-0.062998	0.85627	0.96945	0.94977	0.97947
CCL25	5	0.126	0.66869	0.69466	0.92462	0.50369	0.75937
CCL26	5	0.11574	0.73327	0.7287	0.93668	0.46339	0.73636
CCL27	5	-0.31501	-2.0537	0.18727	0.62665	0.040006	0.48021
CCL28	5	0.092892	0.58713	0.80801	0.95868	0.55712	0.79164
CCL3	4	0.13136	0.56032	0.70243	0.92715	0.57526	0.80202
CCL4	2	0.19442	0.64455	0.66833	0.91639	0.51922	0.76827
CCL5	5	0.027099	0.11931	0.97384	0.99642	0.90503	0.96022
CCL7	5	-0.31041	-1.221	0.19221	0.63274	0.2221	0.60194
CCL8	5	0.10604	0.41443	0.7613	0.94937	0.67856	0.85754
CCM2	5	0.21202	1.1933	0.43341	0.82342	0.23277	0.60604
CCM2L	5	0.27013	1.9587	0.28957	0.73046	0.050144	0.54909
CCNA1	5	-0.39245	-1.6155	0.11341	0.51683	0.1062	0.59288
CCNA2	5	-0.6332	-2.5972	0.019771	0.22909	0.009398	0.20217
CCNB1	5	-0.90429	-2.6318	0.0019993	0.054299	0.0084922	0.18967
CCNB1IP1	5	-0.42588	-1.4216	0.090859	0.47133	0.15514	0.59288
CCNB2	5	-0.035618	-0.16409	0.77396	0.95083	0.86966	0.94582
CCNB3	9	0.087976	0.58007	0.74336	0.94221	0.56187	0.7938
CCNC	5	-0.27803	-1.1564	0.2352	0.67944	0.24752	0.61364
CCND1	5	-1.0819	-3.2803	0.00027769	0.011655	0.0010371	0.05173
CCND2	5	0.18922	0.85376	0.49933	0.85521	0.39324	0.69425
CCND3	15	-0.014695	-0.11417	0.75042	0.94384	0.9091	0.9618
CCNDBP1	4	-0.062909	-0.30203	0.71643	0.93309	0.76263	0.90023
CCNE1	5	0.065813	0.3248	0.89726	0.97992	0.74533	0.89143
CCNE2	5	-0.39976	-1.5178	0.10791	0.50718	0.12907	0.59288
CCNF	5	0.05503	0.38252	0.93458	0.98936	0.70208	0.86901
CCNG1	5	0.027211	0.22946	0.97423	0.99642	0.81851	0.92632
CCNG2	5	-0.031672	-0.19112	0.78557	0.95346	0.84843	0.93848
CCNH	5	-1.0483	-3.3382	0.00049983	0.019824	0.00084326	0.04514
CCNI	5	-0.054152	-0.25337	0.71443	0.9322	0.79998	0.91672
CCNI2	5	0.18717	0.85693	0.50455	0.85798	0.39148	0.69292
CCNJ	4	0.11778	0.62069	0.74336	0.94221	0.5348	0.77755
CCNJL	5	0.27255	1.6885	0.28379	0.72637	0.091323	0.59288
CCNK	5	-0.83346	-2.7961	0.0037765	0.082927	0.0051716	0.13816
CCNL1	5	0.0045993	0.019522	0.89948	0.9801	0.98442	0.99383
CCNL2	5	-0.14816	-0.66256	0.46851	0.8402	0.50761	0.76173
CCNO	5	0.19062	0.80936	0.49522	0.85356	0.41831	0.70987
CCNT1	5	-0.37438	-1.5015	0.12824	0.54548	0.13324	0.59288
CCNT2	5	-0.34311	-1.1617	0.15684	0.58895	0.24537	0.61238
CCNY	5	0.19808	0.96915	0.47229	0.84241	0.33247	0.6593
CCNYL1	5	-0.0090205	-0.026144	0.8561	0.96945	0.97914	0.99137
CCP110	5	0.020806	0.074208	0.95207	0.99191	0.94084	0.97671
CCPG1	4	0.25297	1.2195	0.37576	0.78989	0.22267	0.60194
CCR1	5	-0.11006	-0.45806	0.56109	0.88302	0.64691	0.84083
CCR10	5	0.18234	0.94846	0.51944	0.8657	0.34289	0.66503
CCR2	5	0.2178	0.92861	0.41719	0.81369	0.35309	0.67142
CCR3	5	0.0089324	0.066239	0.91253	0.9833	0.94719	0.97897
CCR4	5	-0.23607	-0.91445	0.29912	0.73622	0.36048	0.67438
CCR5	5	0.026109	0.11947	0.97045	0.99607	0.9049	0.9602
CCR6	5	0.21891	1.1298	0.41403	0.81222	0.25856	0.61852
CCR7	5	-0.0041583	-0.02852	0.87226	0.9742	0.97725	0.99066
CCR8	5	0.52634	1.5748	0.018494	0.21966	0.1153	0.59288
CCR9	5	0.16874	0.68381	0.56037	0.88302	0.4941	0.75394
CCRL2	5	0.39966	1.5281	0.086804	0.46206	0.12648	0.59288
CCRN4L	5	-0.14203	-0.61162	0.48312	0.84726	0.54079	0.78173
CCS	5	-0.023243	-0.13952	0.81134	0.95948	0.88904	0.95433
CCSAP	5	0.27788	1.2535	0.2718	0.71583	0.21001	0.59847
CCSER1	5	0.024891	0.10567	0.96579	0.99485	0.91584	0.96566
CCSER2	10	0.030408	0.19582	0.99722	0.99944	0.84475	0.93664
CCT2	5	-1.1112	-2.3783	0.00027769	0.011655	0.017394	0.29715
CCT3	5	-1.2629	-3.617	0	0	0.00029801	0.02349
CCT4	5	-2.288	-4.5655	0	0	4.9841e-06	0.0020396
CCT5	5	-1.089	-2.9373	0.00027769	0.011655	0.0033108	0.10589
CCT6A	4	-2.3202	-4.9772	0	0	6.4497e-07	0.00071365
CCT6B	5	0.020614	0.11825	0.95141	0.99191	0.90587	0.96055
CCT7	5	-0.97102	-2.6411	0.00099967	0.031802	0.0082628	0.18693
CCT8	5	-1.5536	-3.7547	0	0	0.00017353	0.016446
CCT8L2	5	-0.25943	-1.6107	0.26241	0.70705	0.10724	0.59288
CCZ1	2	-0.51919	-0.86356	0.20077	0.64175	0.38783	0.69089
CCZ1B	5	-0.13666	-0.99963	0.49422	0.85279	0.31749	0.6503
CD101	5	0.080879	0.41771	0.84811	0.9686	0.67616	0.85637
CD109	5	0.25599	1.3103	0.32084	0.75036	0.19009	0.59478
CD14	5	0.6243	1.4127	0.0038321	0.083233	0.15775	0.59288
CD151	5	-0.092874	-0.42009	0.60646	0.89437	0.67442	0.8553
CD160	5	0.040822	0.21812	0.98156	0.99763	0.82733	0.92967
CD163	5	-0.10076	-0.48153	0.58675	0.89111	0.63014	0.83126
CD163L1	5	-0.069216	-0.21602	0.67205	0.91801	0.82897	0.93022
CD164	5	0.32474	1.1275	0.18588	0.62409	0.25953	0.61927
CD164L2	5	0.22203	1.366	0.4052	0.80746	0.17193	0.59288
CD177	5	-0.16822	-0.85106	0.42564	0.81924	0.39474	0.69485
CD180	5	-0.097417	-0.51044	0.59525	0.89249	0.60975	0.8197
CD19	5	-0.42986	-2.0028	0.087637	0.46329	0.045199	0.51937
CD1A	5	-0.10169	-0.68954	0.58481	0.89053	0.49048	0.75208
CD1B	5	-0.069803	-0.37176	0.67039	0.91732	0.71007	0.8724
CD1C	5	0.093085	0.33037	0.80701	0.95834	0.74112	0.88944
CD1D	5	0.085738	0.51007	0.83267	0.96543	0.61	0.8198
CD1E	23	-0.29601	-3.1001	0.0088859	0.1421	0.0019347	0.076752
CD2	4	0.26275	0.80022	0.35377	0.7765	0.42358	0.71268
CD200	5	-0.72531	-2.664	0.0091636	0.14348	0.0077221	0.1801
CD200R1	7	-0.03353	-0.17856	0.75208	0.94481	0.85829	0.94139
CD200R1L	5	-0.13455	-0.59139	0.49961	0.85521	0.55426	0.78993
CD209	7	0.25014	1.4909	0.2462	0.69087	0.136	0.59288
CD22	5	0.028101	0.14948	0.97706	0.9966	0.88118	0.95106
CD226	5	0.50947	1.7959	0.022381	0.24219	0.072503	0.59288
CD244	5	-0.18127	-0.76016	0.39842	0.80313	0.44716	0.7273
CD247	5	0.17444	0.69136	0.54332	0.87381	0.48934	0.75141
CD248	5	0.15081	0.83965	0.61396	0.89718	0.40111	0.69896
CD27	5	0.24347	1.3538	0.35116	0.77529	0.17579	0.59365
CD274	6	0.41786	1.5386	0.047873	0.35473	0.1239	0.59288
CD276	8	0.020102	0.13828	0.94768	0.99146	0.89002	0.95476
CD28	9	0.082513	0.46705	0.76741	0.94971	0.64046	0.83785
CD2AP	5	0.16755	0.64273	0.5632	0.88375	0.5204	0.76888
CD2BP2	5	0.069423	0.38646	0.88537	0.9773	0.69915	0.86797
CD300A	5	0.29532	1.0634	0.23714	0.68059	0.28758	0.63482
CD300C	5	-0.2438	-1.5305	0.28574	0.72703	0.1259	0.59288
CD300LD	5	0.13166	0.52726	0.67639	0.91925	0.59802	0.81458
CD300LF	5	0.21593	1.071	0.42208	0.81694	0.28418	0.63192
CD300LG	5	-0.21714	-1.0539	0.32922	0.75806	0.29194	0.63685
CD302	6	0.03317	0.14456	0.99695	0.99944	0.88506	0.95276
CD320	5	0.10077	0.72646	0.78174	0.95321	0.46756	0.7381
CD33	9	-0.16815	-0.88522	0.2894	0.73046	0.37604	0.68225
CD34	5	0.38186	1.2791	0.10663	0.5042	0.20086	0.59603
CD36	5	-0.010786	-0.053675	0.85038	0.96871	0.95719	0.9829
CD37	5	0.14643	0.79555	0.62785	0.90209	0.4263	0.71397
CD38	5	0.41397	1.4033	0.075253	0.43827	0.16053	0.59288
CD3D	5	0.033317	0.094293	0.99439	0.99944	0.92488	0.9692
CD3E	5	0.061943	0.30196	0.9102	0.98279	0.76268	0.90023
CD3EAP	5	-0.064058	-0.41122	0.68655	0.92186	0.68091	0.85882
CD3G	5	0.23982	1.0912	0.36044	0.7811	0.27517	0.62642
CD4	5	-0.071539	-0.2574	0.666	0.91545	0.79687	0.91557
CD40	5	0.30077	1.3325	0.22659	0.67127	0.18268	0.59478
CD40LG	5	0.42423	1.1527	0.067422	0.41864	0.24902	0.61507
CD44	5	0.077438	0.41821	0.8586	0.97026	0.67579	0.85614
CD46	5	-0.20976	-0.93939	0.34327	0.77108	0.34753	0.66786
CD47	5	0.37541	1.016	0.11507	0.52201	0.30962	0.64673
CD48	5	-0.173	-0.80793	0.41508	0.81272	0.41913	0.71021
CD5	5	0.038697	0.19726	0.98867	0.9991	0.84362	0.9363
CD52	1	-0.31608	-1.1765	0.5356	0.87181	0.2394	0.61006
CD53	5	0.1808	0.94644	0.52477	0.86831	0.34393	0.66581
CD55	5	-0.44861	-1.6306	0.077974	0.44151	0.10298	0.59288
